epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,6564.66,1.70706,0.69611,0.75863,0.90897,0.87376,0.89001,0.45755,1.77328,0.82896,0.78488,0.0002774,0.0002774,0.0002774
89,6630.32,1.67918,0.71328,0.75878,0.91315,0.8875,0.90478,0.45461,1.77204,0.79418,0.78417,0.0002576,0.0002576,0.0002576
90,6709.24,1.65439,0.69167,0.75005,0.91049,0.89375,0.91319,0.46829,1.75943,0.7892,0.78343,0.0002378,0.0002378,0.0002378
91,6776.71,1.62523,0.74461,0.77543,0.84631,0.88125,0.85701,0.44326,1.75666,1.00912,0.78281,0.000218,0.000218,0.000218
92,6841.37,1.55603,0.7153,0.78122,0.82984,0.8875,0.82786,0.41528,1.7692,1.08506,0.78364,0.0001982,0.0001982,0.0001982
93,6903.08,1.58585,0.69416,0.7836,0.83576,0.89053,0.83027,0.41733,1.78496,1.15474,0.78522,0.0001784,0.0001784,0.0001784
94,6960.57,1.6273,0.68652,0.77631,0.85422,0.9125,0.8567,0.42493,1.78041,0.99561,0.78304,0.0001586,0.0001586,0.0001586
95,7037.33,1.62881,0.70941,0.77384,0.87036,0.90625,0.86556,0.42481,1.77227,0.89356,0.78211,0.0001388,0.0001388,0.0001388
96,7115.65,1.50716,0.67361,0.78548,0.89046,0.90625,0.89432,0.45165,1.73493,0.8267,0.7802,0.000119,0.000119,0.000119
97,7194.73,1.53242,0.68815,0.77761,0.9092,0.9125,0.92796,0.47816,1.71686,0.78651,0.78016,9.92e-05,9.92e-05,9.92e-05
98,7272.93,1.54488,0.66507,0.78813,0.92383,0.9125,0.93896,0.47361,1.71094,0.77241,0.78226,7.94e-05,7.94e-05,7.94e-05
99,7349.03,1.57007,0.67296,0.78603,0.88093,0.9248,0.90397,0.45906,1.70656,0.82353,0.783,5.96e-05,5.96e-05,5.96e-05
100,7425.19,1.54313,0.68218,0.78121,0.89943,0.89434,0.89659,0.46411,1.71698,0.80184,0.78341,3.98e-05,3.98e-05,3.98e-05
